id,question,answer,supporting_quote,source_pdf,source_pdf_path,question_type,review_status,reviewer_notes,corrected_question,corrected_answer,corrected_quote,gold_chunk_ids
0,What is the support ID provided for the visitor?,11442438067021331400,Your support ID is: 11442438067021331400.,02MD787706E669D641C090B415DBE22DEE29.PDF,data\raw\02MD787706E669D641C090B415DBE22DEE29.PDF,exact_identifier,,,,,,
1,What is the purpose of asking the question 'What code is in the image?',To test whether the visitor is human and to prevent automated spam submission.,This question is for testing whether you are a human visitor and to prevent automated spam submission.,02MD787706E669D641C090B415DBE22DEE29.PDF,data\raw\02MD787706E669D641C090B415DBE22DEE29.PDF,factoid,,,,,,
2,"According to the text, what is the status of audio support in the visitor's browser?",Audio is not supported.,Audio is not supported in your browser.,02MD787706E669D641C090B415DBE22DEE29.PDF,data\raw\02MD787706E669D641C090B415DBE22DEE29.PDF,comparative,,,,,,
3,What must be enabled first before the page content can be viewed?,JavaScript,Please enable JavaScript to view the page content.,02MD787706E669D641C090B415DBE22DEE29.PDF,data\raw\02MD787706E669D641C090B415DBE22DEE29.PDF,temporal,,,,,,
4,"Based on the document, what two objectives are served by testing whether a visitor is human?",Testing whether the visitor is human and preventing automated spam submission.,This question is for testing whether you are a human visitor and to prevent automated spam submission.,02MD787706E669D641C090B415DBE22DEE29.PDF,data\raw\02MD787706E669D641C090B415DBE22DEE29.PDF,multi_hop,,,,,,
5,What is the specific support ID provided to the visitor?,11442438067021331400,Your support ID is: 11442438067021331400.,02MD787706E669D641C090B415DBE22DEE29.PDF,data\raw\02MD787706E669D641C090B415DBE22DEE29.PDF,exact_identifier,,,,,,
6,What must be enabled prior to viewing the page content?,JavaScript,Please enable JavaScript to view the page content.,02MD787706E669D641C090B415DBE22DEE29.PDF,data\raw\02MD787706E669D641C090B415DBE22DEE29.PDF,temporal,,,,,,
7,Why is the visitor asked to identify the code in the image?,To test whether they are a human visitor and to prevent automated spam submission.,This question is for testing whether you are a human visitor and to prevent automated spam submission.,02MD787706E669D641C090B415DBE22DEE29.PDF,data\raw\02MD787706E669D641C090B415DBE22DEE29.PDF,multi_hop,,,,,,
8,Is audio supported or not supported in the visitor's browser?,Not supported,Audio is not supported in your browser.,02MD787706E669D641C090B415DBE22DEE29.PDF,data\raw\02MD787706E669D641C090B415DBE22DEE29.PDF,comparative,,,,,,
9,What specific question is presented to the visitor to answer?,What code is in the image?,What code is in the image?,02MD787706E669D641C090B415DBE22DEE29.PDF,data\raw\02MD787706E669D641C090B415DBE22DEE29.PDF,factoid,,,,,,
10,What is the specific support ID associated with the session?,679480894918427451,Your support ID is: 679480894918427451.,03MD945692290C104C5595AEDAC89AE78788.PDF,data\raw\03MD945692290C104C5595AEDAC89AE78788.PDF,exact_identifier,,,,,,
11,What is the status of audio support in the visitor's browser?,Audio is not supported.,Audio is not supported in your browser.,03MD945692290C104C5595AEDAC89AE78788.PDF,data\raw\03MD945692290C104C5595AEDAC89AE78788.PDF,factoid,,,,,,
